target,text
0,That's why we get fucked up (we get fucked up)
0,I can still feel your touch
0,I still do those same drugs
0,Sometimes life gets fucked up (fucked up)
0,That's why we get fucked up (fucked up)
0,I can still feel your touch
0,I still do those same drugs
0,That we used to do
0,I was used to you (I was used to you)
0,"""What have you been through?"""
0,She asked me
0,Every fun kind of abuse
0,If you love me too
0,You would give me you (you would give me you)
0,Hide me in your room
0,Don't tell me the truth
0,Everything you said (everything you said)
0,Stares inside my head (stares inside my head)
0,All the shit you said
0,All the blood I bled
0,Sometimes life gets fucked up (fucked up)
0,That's why we get fucked up (we get fucked up)
0,I can still feel your touch
0,I still do those same drugs
0,Sometimes life gets fucked up (fucked up)
0,That's why we get fucked up (fucked up)
0,I can still feel your touch
0,I still do those same drugs
0,"I wanna kill myself, I wanna kill myself"
0,"It's all I hear right now, it's all I hear right now"
0,"I wanna kill myself, I wanna kill myself"
0,"It's all I hear right now, it's all I hear right now"
0,"I wanna break my vows, wanna neglect my health"
0,How can I trust people if I can't trust myself?
0,"I wanna scream and shout, I wanna cry and pout"
0,"But I can't make myself, why can't I make myself?"
0,I always seem to make the same mistakes
0,"The kinds you can't go back to fix, that start to weigh"
0,'Til I'm dragging 'round a body made of clay
0,"I'm just dead weight, I'm just dead weight"
0,I wanna feel it all again
0,"To have somebody, hold me in place"
0,"Tell it to my bruised face, that I tried"
0,But it was juvenile to think that I ever had a good thing
0,Going with a good being
0,"So, I'll go fuck myself 'til I'm too lonely to feel"
0,"Dance like a court jester, just for a film with no reel"
0,And I'll lose all of my friends when I'm no longer ideal
0,"And then get scolded again, just to come home to no meal"
0,"I wanna kill myself, I wanna kill myself"
0,"It's all I hear right now, it's all I hear right now"
0,"I wanna kill myself, I wanna kill myself"
0,"It's all I hear right now, it's all I hear right now"
0,"I wanna kill myself, I wanna kill myself"
0,"It's all I hear right now, it's all I hear right now"
0,"I wanna kill myself, I wanna kill myself"
0,"It's all I hear right now, it's all I hear right now"
0,"I wanna break my vows, wanna neglect my health"
0,How can I trust people if I can't trust myself?
0,"I wanna scream and shout, I wanna cry and pout"
0,"But I can't make myself, why can't I make myself?"
0,Break the fuckin' mirror 'cause I hate the image
0,Every single tear I cry is wasted liquid
0,"I fucked too many girls to count, I ain't committed"
0,I guess bein' an asshole was a bad decision
0,Thanks haters I love
0,"You, no one above"
0,"You, I lost a thousand friends to threads, like where's the undo?"
0,"Tweetin' like I ain't affected by the hate directed every second, maybe I should take the weapon blow"
0,Where are you going?
0,My serotonin
0,I'm feelin' alone and the world is so cold
0,It's hard to focus
0,Without oxytocin
0,Love is an ocean I can't control
0,Break up with my girl because she doesn't trust me
0,I don't fuckin' blame her 'cause I trust in nothin'
0,"Mama held a bottle, daddy doesn't hug me"
0,All I ever wanted was someone to love me
0,Thanks doctor I need those
0,Give me a free dose
0,I took a thousand happy pills but I'm still emo
0,Actin' like I ain't affected by the hate directed every second
0,Maybe I should fuckin' end it now
0,Where are you going
0,My serotonin
0,I'm feelin' alone and the world is so cold
0,It's hard to focus
0,Without oxytocin
0,Love is an ocean I can't control
0,"Chemicals, chemicals in my brain"
0,"Where'd you go, where'd you go anyway?"
0,Left a hole where the bad wants to stay
0,"Everything, everything goes away"
0,"Chemicals, chemicals in my brain"
0,"Where'd you go, where'd you go anyway?"
0,Left a hole where the bad wants to stay
0,"Everything, everything goes awayTake me home"
0,Take me home
0,It's the one place I can rest in peace
0,Turn off my phone
0,So many messages I wish I could just delete
0,Questioning my existence
0,Questioning my decisions
0,Burning down all the bridges
0,Dig a moat
0,Now I'm finished
0,"Sorry don't want you to visit, no, no"
0,One last pic and I'll be gone
0,Make it count
0,Put the flash on
0,Never really felt like I belonged
0,So I'll be on my way
0,And I won't be long
0,I'll be dead by dawn
0,I'll be dead by dawn
0,I'll be dead by dawn
0,I'll be dead by dawn
0,Scrolling through my texts
0,Shit I left unread
0,Never tryna deal with it
0,There's bliss up in my ignorance
0,10 dope dealers
0,Ex want me to see her
0,Can't trust her
0,Don't believe her
0,"Reply turn into a needle, yeah"
0,Don't wanna do it again
0,Got shit I'm not tryna relive
0,Head fucked up and I'm sick
0,These old habits will kill me quick
0,Quicker than I can blink
0,Quicker than I can think
0,Lift me up
0,Don't want sink
0,Pour me up
0,I need a drink
0,What the fuck do I do when sabotage is all I know?
0,"Oh, I done dug myself my own grave in this hole, oh no, whoa"
0,"Kill me slow, slow"
0,Curtains close slow
0,"Fuck, I don't see what's the point of going on, no"
0,Shoot me in the face
0,I'll shot you in the face
0,We'll see which one of us
0,Can shoot the other in the most accurate place
0,Stab me in the chest
0,I'll stab you in the chest
0,We'll see which one of us
0,Can stab the other in the chest the very best
0,If you want to die
0,Give me a call
0,We'll have each other bleeding in no time at all
0,"Our summer's ending, now, it's time we fall"
0,Hang me from the rafters
0,And I'll hang you from the lamp post
0,We will see which one of us
0,Wants to end everything the most
0,Give me all you got
0,I've had a heart attack
0,But that was just a snack
0,"Compared with what I'll do, if I can't die with you"
0,If you want to die
0,Give me a call
0,We'll have each other bleeding in no time at all
0,"Our summer's ending, now, it's time we fall"
0,"It's not fair, I found love"
0,It made me say to get back
0,You'll never see daylight
0,"If I'm not strong, it just might"
0,"It's not fair, I found love"
0,It made me say to get back
0,You'll never see daylight
0,"If I'm not strong, it just might"
0,They figure me a dead motherfucker
0,But I'm just a motherfucker that want to be dead
0,"$now Leopard with the lead in his head, turning me into a sweater"
0,Bitches use me as their fucking bedspread
0,I be the silhouette of a sunset
0,Smoke a cigarette while I compress my depression
0,"Stare into the violet fluorescent lights, makes me violent"
0,I'm trying to get the highest I can get before I overdose and die
0,My ribs are nothing but an empty cage
0,"Black hole in my chest, big bang, Yung Plague on the tip of a wave"
0,"In my head, I feel like I'm a guest, so I'ma throw it all away"
0,Because when I am dead I will be nothing decomposing in a grave
0,"I'm matter, but I don't matter"
0,I can feel my skull shatter from the dull chatter
0,Brain splattered on the wall
0,"Grey stains won't dissolve, gonna have to paint it all"
0,"It's not fair, I found love"
0,It made me say to get back
0,You'll never see daylight
0,"If I'm not strong, it just might"
0,Always boasting my emotions on how I'm so fucking broken
0,Think I'm joking when I'm talking about blowing my head open
0,"'Til the moment you walk in, and find my body motionless"
0,Wrists slit
0,"Thoughts of $licky falling in an open pit, shit"
0,Always burn my bridges 'cause I'd rather fall in ditches
0,"If life's a game of inches, then my dick has been the biggest"
0,And my goal's to fuck the world until that motherfucker's twitching
0,Lane switchin'
0,"Same mission, to die and blame my addiction, bitch"
0,"It's not fair, I found love"
0,It made me say to get back
0,You'll never see daylight
0,"If I'm not strong, it just might"
0,Now I know
0,That I can't make you stay
0,But where's your heart?
0,But where's your heart?
0,But where's your
0,And I know
0,There's nothing I can say
0,To change that part
0,To change that part
0,To change
0,So many
0,Bright lights that cast a shadow
0,But can I speak?
0,"Well, is it hard understanding"
0,I'm incomplete?
0,A life that's so demanding
0,I get so weak
0,A love that's so demanding
0,I can't speak
0,I am not afraid to keep on living
0,I am not afraid to walk this world alone
0,"Honey, if you stay"
0,I'll be forgiven
0,Nothing you can say can stop me going home
0,Can you see
0,My eyes are shining bright?
0,'Cause I'm out here
0,On the other side
0,Of a jet black
0,Hotel mirror
0,And I'm so weak
0,Is it hard understanding
0,I'm incomplete?
0,A love that's so demanding
0,I get weak
0,I am not afraid to keep on living
0,I am not afraid to walk this world alone
0,"Honey, if you stay"
0,I'll be forgiven
0,Nothing you can say can stop me going home
0,I am not afraid to keep on living
0,I am not afraid to walk this world alone
0,"Honey, if you stay"
0,I'll be forgiven
0,Nothing you can say can stop me going home
0,These bright lights have always blinded me
0,These bright lights have always blinded me
0,I say
0,I see you lying next to me
0,With words I thought I'd never speak
0,Awake and unafraid
0,Asleep or dead
0,'Cause I see you lying next to me
0,With words I thought I'd never speak
0,Awake and unafraid
0,Asleep or dead
0,'Cause I see you lying next to me
0,With words I thought I'd never speak
0,Awake and unafraid
0,Asleep or dead
0,'Cause I see you lying next to me
0,With words I thought I'd never speak
0,Awake and unafraid
0,Asleep or dead
0,I am not afraid to keep on living
0,I am not afraid to walk this world alone
0,"Honey, if you stay"
0,I'll be forgiven
0,Nothing you can say can stop me going home
0,I am not afraid to keep on living
0,I am not afraid to walk this world alone
0,"Honey, if you stay"
0,I'll be forgiven
0,Nothing you can say can stop me going home
0,I am not afraid to keep on living
0,I am not afraid to walk this world alone
0,"Honey, if you stay"
0,I'll be forgiven
0,Nothing you can say can stop me going home
0,"In a crooked little town, they were lost and never found"
0,"Fallen leaves, fallen leaves, fallen leaves on the ground"
0,"I hitched a ride, until the coast"
0,"To leave behind, all of my ghosts"
0,"Searching for something, I couldn't find at home"
0,"Can't get no job, can you spare a dime?"
0,"Just one more hit, and I'll be fine"
0,"I swear to God, this'll be my one last time!"
0,"In a crooked little town, they were lost and never found"
0,"Fallen leaves, fallen leaves, fallen leaves on the ground"
0,"Run away before you drown, or the streets will beat you down"
0,"Fallen leaves, fallen leaves, fallen leaves on the ground"
0,"When it gets dark, in Pigeon Park"
0,"Voice in my head, will soon be fed"
0,"By the vultures, that circle round the dead!"
0,"In a crooked little town, they were lost and never found"
0,"Fallen leaves, fallen leaves, fallen leaves... on the ground"
0,"Run away before you drown, or the streets will beat you down"
0,"Fallen leaves, fallen leaves, fallen leaves on the ground"
0,"I never once thought, I'd ever be caught!"
0,"Staring at sidewalks, hiding my track marks!"
0,"I left my best friends, or did they just leave me?"
0,"In a crooked little town, they were lost and never found"
0,"Fallen leaves, fallen leaves, fallen leaves on the ground"
0,"Run away before you drown, or the streets will beat you down"
0,"Fallen leaves, fallen leaves, fallen leaves on the ground"
0,Run away before you drown!
0,"Fallen leaves, fallen leaves, fallen leaves on the ground"
0,"Outside in an all black ride, tint rolled up when I'm high"
0,"Said they all wanna live, but I just wanna die"
0,"Mo-motherfucker, if you're looking for me, find me in the night"
0,"I got a knife, don't wanna fight"
0,"I wanna take your fuckin' life, and end it right on sight"
0,"When I strike, if you bark, better bite"
0,"Block hot, fuck the cops, pop a six-shot Glock"
0,"Then I trot to the rocks, with me own blood clot"
0,"Red-dot, bodies drop when I cock, then I spot"
0,"No tomb, no plot, throw 'em off of the yacht"
0,Undocked with the slot of the skull
0,"Hangin' in the fucking river, ho"
0,"$ui-$uicide, 666, 59, so cynical"
0,"Got a pound in the blunt, I'm loungin'"
0,"Pour another round, I'm drownin'"
0,"Climb to the top, I'ma jump off the mountain, ayy"
0,"Swervin', swervin' in a motherfuckin' all-white Crown Vic"
0,"Blue lights mounted, siren howlin'"
0,"Stole it from a cop, because he popped another brown kid, ayy"
0,Got the town lit up by the flame that I made from my grey serenade
0,Make way for the Plague
0,"On the seventh day, grey bodies lay in they graves"
0,"Still got the badge, still got the gun"
0,"Still got the patch, still got the stun"
0,"Still got the cash, bitch, I burn it for fun"
0,Put the Glock to my skull then I
0,"Yuh, yuh, yuh"
0,"$outh $ide $uicide, kill yourself, ho"
0,"Say you gettin' money, but your numbers don't show"
0,"You a liar, baseball bat fully wrapped in barbed wire"
0,For anyone that's tryna get by us
0,I been thinkin' a lot
0,I see these rappers tryna get at my spot
0,"Robb told me, ""You gotta get it how you live"""
0,"Told that bitch, ""you better get up out my biz"""
0,Pickle-breath-ass ho with a face like thizz
0,You don't want no issue with
0,Nose seen more blow than most nose seen a tissue
0,I got anxiety so I can't really do an interview
0,Don't come close to me
0,I'm not the one to really do it how it's supposed to be
0,"Independent, tell the label to get over me"
0,I'm over here with my peers gettin' rich point blank
0,Before I bring her to the crew make sure that bitch don't stink
0,"Ain't no rules to the game, talk how you want"
0,"Walk how you want, my job is the shit"
0,I used to clean up shit from the rim of the toilet
0,"Now I'm gettin' money, I don't gotta pack a pistola"
0,"Okay, maybe, 'cause jealousy make a man go crazy"
0,Money make a motherfucker hate me
0,"One thousand bitches, they all wanna date me"
0,Percocets and the codeine
0,Got me floating
0,Opiates I'm a junkie
0,Fuck the money
0,Third ward in the dope house
0,Keep a closed mouth
0,In the ghetto bitch I got clout
0,Never seen droughts
0,Hit the route
0,Where the felons lurk
0,Tony's in the dirt
0,Finding work
0,Got my 20 shirts
0,"Tell the homie ""fuck your turf"""
0,Triple six don't make me manifest
0,Bulletproof the vest
0,Lucifer done made me promises
0,And that's an honest threat
0,Oozing feeling Gucci when them pills slide down my throat
0,Loosely take a couple
0,Feeling woozy how I cope
0,Burning wax but ain't no candles
0,I can handle what I know
0,What I don't know I will try and probably use until I croak
0,I'd of fucked all of these bitches
0,I don't trust them so I don't
0,Fuck a hoe
0,Pussy's just another hole that I crawl in and out of
0,Slit my throat I'll die inside of a bitch
0,I be that downward spiral looking motherfucker
0,Trying to aim a rifle
0,911 don't fucking dial
0,I hear the rain. I hear the rain.
0,I hear the rain.
0,Got to kill the pain.
0,I hear the rain. I hear the rain.
0,I hear the rain.
0,Got to kill the pain.
0,Burry me out on a lone prarie.
0,Prarie water washin' over me.
0,Burry me out on a lone prarie.
0,A friend who calls a coyote.
0,Burry me out in the lone city.
0,Sewer water color of my tea.
0,Burry me out in the lone city.
0,Sewer water wash we all down to sea.
0,She use to sit and watch and wait.
0,Now I think I'll go and sit.
0,Premeditation will kill the trust
0,They'll never know if you fear me
0,With every second collecting dust
0,I feel so bloated and weary
0,'Cause she belongs to heaven
0,She's coming over like a suicide
0,"And its the same old trip, the same old trip as before"
0,Another complicating suicide
0,"And its the same old trip, the same old trip. AS BEFORE!"
0,She'll cut you down with a single thrust
0,She's taking over too quickly
0,No medication can cure the lust
0,So say a prayer for the sickly
0,'Cause she belongs to heaven
0,She's coming over like a suicide
0,"And its the same old trip, the same old trip as before"
0,Another complicating suicide
0,"And its the same old trip, the same old trip. As before! As before!"
0,You set me up to fucking fail this time
0,You set me up to fucking fail this time
0,You set me up to fucking fail this time
0,You set me up to fucking fail this time
0,You set me up to fucking fail this time
0,You set me up to fucking fail this time
0,You set me up to fucking fail this time
0,You set me up to fucking fail this time
0,She's coming over like a suicide
0,"And its the same old trip, the same old trip as before"
0,Another overbearing suicide
0,"And its the same old trip, the same old trip"
0,She's coming over wearing genocide
0,"And its the same old trip, the same old trip as before"
0,Another complicating suicide
0,"And its the same old trip, the same old trip. AS BEFORE! AS BEFORE!"
0,Wake up!
0,"Oh, how the times have changed"
0,You're not the person I knew back then
0,Let's get this straight
0,This is a calling
0,When will they stop falling for this?
0,You lack all inspiration
0,We are not the same
0,I'll do whatever it takes
0,To get it through to you
0,And we'll call this a day
0,We're not the same
0,You are worthless
0,Stay in your place
0,It's like speaking in tongues
0,To all of you now
0,When will we ever (when will we ever) get what we deserve?
0,How long until the tables turn?
0,When will we ever (when will we ever) get what we deserve?
0,I've created a monster
0,You bring out a side of me that no one should see
0,"So quit stalling, pack your bags"
0,Keep walking away
0,Your life leads to destruction
0,We are not the same
0,I've struggled too long to sit back
0,And let you take this from me
0,We are not the same
0,I have given everything
0,It's like speaking in tongues
0,To all of you now
0,When will we ever (when will we ever) get what we deserve?
0,How long until the table's turn?
0,When will we ever (when will we ever) get what we deserve?
0,(Get what we deserve) Get what we deserve
0,Get what we deserve
0,Disrespect your surroundings
0,You won't make it out alive
0,You won't make it out alive
0,You won't make it out alive
0,You won't make it out alive
0,It's like speaking in tongues
0,To all of you now
0,When will we ever (when will we ever) get what we deserve?
0,How long until the tables turn?
0,When will we ever (when will we ever) get what we deserve?
0,When will we ever get what we deserve?
0,When will we ever get what we deserve?
0,I'm going back to 505
0,If it's a seven hour flight or a forty-five minute drive
0,"In my imagination you're waiting, lying on your side"
0,With your hands between your thighs
0,Stop and wait a sec
0,"Oh, when you look at me like that, my darling"
0,What did you expect?
0,I probably still adore you with your hands around my neck
0,Or I did last time I checked
0,Not shy of a spark
0,A knife twists at the thought that I should fall short of the mark
0,Frightened by the bite though it's no harsher than the bark
0,"Middle of adventure, such a perfect place to start"
0,I'm going back to 505
0,If it's a seven hour flight or a forty-five minute drive
0,"In my imagination you're waiting, lying on your side"
0,With your hands between your thighs
0,But I crumble completely when you cry
0,It seems like once again you've had to greet me with goodbye
0,I'm always just about to go and spoil a surprise
0,Take my hands off of your eyes too soon
0,I'm going back to 505
0,If it's a seven hour flight or a forty-five minute drive
0,"In my imagination you're waiting, lying on your side"
0,With your hands between your thighs and a smile!
0,She eyes me like a Pisces when I am weak
0,I've been locked inside your heart-shaped box for weeks
0,I've been drawn into your magnet tar pit trap
0,I wish I could eat your cancer when you turn black
0,Hey
0,Wait
0,I got a new complaint
0,Forever in debt to your priceless advice
0,Hey
0,Wait
0,I got a new complaint
0,Forever in debt to your priceless advice
0,Hey
0,Wait
0,I got a new complaint
0,Forever in debt to your priceless advice
0,Your advice
0,Meat-eating orchids forgive no one just yet
0,Cut myself on angel hair and baby's breath
0,"Broken hymen of Your Highness, I'm left black"
0,Throw down your umbilical noose so I can climb right back
0,Hey
0,Wait
0,I got a new complaint
0,Forever in debt to your priceless advice
0,Hey
0,Wait
0,I got a new complaint
0,Forever in debt to your priceless advice
0,Hey
0,Wait
0,I got a new complaint
0,Forever in debt to your priceless advice
0,Your advice
0,She eyes me like a Pisces when I am weak
0,I've been locked inside your heart-shaped box for weeks
0,I've been drawn into your magnet tar pit trap
0,I wish I could eat your cancer when you turn black
0,Hey
0,Wait
0,I got a new complaint
0,Forever in debt to your priceless advice
0,Hey
0,Wait
0,I got a new complaint
0,Forever in debt to your priceless advice
0,Hey
0,Wait
0,I got a new complaint
0,Forever in debt to your priceless advice
0,Your advice
0,Your advice
0,Your advice
0,I hurt myself today
0,To see if I still feel
0,I focus on the pain
0,The only thing that's real
0,The needle tears a hole
0,The old familiar sting
0,Try to kill it all away
0,But I remember everything
0,What have I become
0,My sweetest friend?
0,Everyone I know
0,Goes away in the end
0,And you could have it all
0,My empire of dirt
0,I will let you down
0,I will make you hurt
0,I wear this crown of thorns
0,Upon my liar's chair
0,Full of broken thoughts
0,I cannot repair
0,Beneath the stains of time
0,The feelings disappear
0,You are someone else
0,I am still right here
0,What have I become
0,My sweetest friend?
0,Everyone I know
0,Goes away in the end
0,And you could have it all
0,My empire of dirt
0,I will let you down
0,I will make you hurt
0,If I could start again
0,A million miles away
0,I will keep myself
0,I would find a way
0,Runny nose and runny yolk
0,Even if you have a cold still
0,You can cough on me again
0,I still haven't had my full fill
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,Broken heart and broken bones
0,Finger plaster cast and horse pills
0,One more quirky cliche phrase
0,You're the one I wanna refill
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,Most people don't realize that large pieces of coral
0,Which have been painted brown and attached to the skull with common wood screws
0,Can make a child look like a deer
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,Runny nose and runny yolk
0,Even if you have a cold still
0,You can cough on me again
0,I still haven't had my full fill
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,End it someday
0,What's that sound?
0,NAVIGATE THE MAP. DISTINGUISH A POORLY-WRITTEN SCRIPT. AM I THE CITY CENTER OR AM I AN ISLAND? ISN'T IT STRANGE? AM I ALL ALONE? THE DOCTOR IS RUNNING A FEW MINUTES LATE. NO DRIP TO COMPENSATE. PAPER BLANKET PULLED OUT STRAIGHT. NO ROOM FOR DEBATE. NOTHING ECHOES WITHIN THE CORNERS. A DOOR FRAME CONTRASTS THE SPACE. ALWAYS DISTRACTED - THESE GHOSTS TOOK MY NAME. THEY STOLE MY FAITH - ALL IN VAIN. INVISIBLE WAVES THROUGH ME. INTRUSION - ENTIRELY. SLOW DOWN LIKE JANUARY. TAKE A FORM - PATHETICALLY. ISN'T IT STRANGE? THE DOCTOR IS RUNNING A FEW MINUTES LATE. NO DRIP TO COMPENSATE. PAPER BLANKET PULLED OUT STRAIGHT. NO ROOM FOR DEBATE.
0,"Across land (across land), across sea (across sea)"
0,We can't count the miles
0,"The days, the weeks, the months, the years"
0,We can't count the miles
0,Do you know what it's like? How is it when you fall asleep?
0,Have you ever been in love?
0,Could you explain to me
0,"Since I keep trying to pretend, but it's better to keep quiet?"
0,Still it goes without saying that I can't help it
0,"Across land (across land), across sea (across sea)"
0,We can't count the miles
0,"The days, the weeks, the months, the years"
0,We can't count the miles now
0,"If you wanted to trade places, exist in different spaces"
0,One would have to erase this
0,TAKE IT ALL BACK BECAUSE YOU KNOW THAT YOU ARE NO VICTIM. YOU ARE A CEMETERY - ROTTING OUT AND BATHING IN YOUR PRIVILEGE. TAKE IT ALL BACK CAUSE YOU KNOW THAT I'M A SWITCHBLADE THROUGH THE HEADLINES. AWAIT THE MOMENT WHEN WE DRIVE A SPIKE TO THE STERNUM OF YOUR FICTION. TAKE IT ALL BACK CAUSE YOU KNOW THAT I'M A SWITCHBLADE THROUGH THE HEADLINES. CURB YOUR PLEASURE. GROUND YOUR DREAMS. YOU WANT TO WATCH ME BLEED?
0,Over a lifetime
0,I never loved her
0,"My daughter, my daughter"
0,Seems to be a distorted shift
0,"I'm lost now, I'm lost"
0,In the universal absence
0,"And it is dizzying, dizzying"
0,"Pitch black, pitch black"
0,Over a lifetime
0,I never loved her
0,"My daughter, my daughter"
0,Before there were
0,Ships sailing under a swollen moon
0,"But enough now, enough"
0,Every memory awakens an agony
0,"But enough now, enough"
0,Every memory awakens an agony
0,Over a lifetime
0,I never loved her
0,"My daughter, my daughter"
0,Over a lifetime
0,I never loved her
0,"My daughter, my daughter"
0,I keep carrying the dead with me
0,"So let us pity them, bury them all at once"
0,I keep carrying the dead with me
0,"So let us pity them, bury them all at once"
0,"THE BROKEN GLASS WASN'T THE ISSUE, IT WAS A CATALYST, JUST A REASON TO. AN ACCIDENT, A STROKE OF FATE. I TRIED TO HOLD IT IN, BUT I COULD FEEL IT BREAK. BUILD ME UP TO TEAR ME DOWN. I FOUGHT SO HARD NOT TO DROWN. RIDING THIS WAVE OF YOUTH, THE PATTERN REPEATS THE TRUTH. YOU CAN'T UNDERSTAND, IT'S HAPPENED AGAIN, SLIPPED OUT OF MY HANDS. IT'S MY FAULT. THERE'S NOTHING LEFT TO GIVE YOU HAVE IT ALL. I GUESS THAT'S NOT ENOUGH. IT'S MY FAULT. STARING OUT AS I BEGIN TO FALL. IT NEVER WAS ENOUGH. LIKE A PARASITE FEEDING ON MY DOUBT MADE ME BELIEVE I NEEDED HELP. TRIED TO HOLD IT IN, IT WANTED OUT. BUILD ME UP TO TEAR ME DOWN. I FOUGHT SO HARD NOT TO DROWN. RIDING THIS WAVE OF YOUTH, THE PATTERN REPEATS THE TRUTH. YOU CAN'T UNDERSTAND IT'S HAPPENED AGAIN, SLIPPED OUT OF MY HANDS. IT'S MY FAULT. THERE'S NOTHING LEFT TO GIVE YOU HAVE IT ALL. I GUESS THAT'S NOT ENOUGH. IT'S MY FAULT. STARING OUT AS I BEGIN TO FALL. IT NEVER WAS ENOUGH. I BLAME MYSELF FOR EVERYTHING. I FOUGHT SO HARD NOT TO DROWN. I HELD THE WALLS, YOU PULLED THE STRINGS, AND NOW IT'S ALL CRASHING DOWN. SO PLEASE REMIND ME OF WHO I'M SUPPOSED TO BE, CAUSE NOW I'M FINDING IT'S TEARING AT THE SEAMS. RIDING THIS WAVE OF YOUTH, THE PATTERN REPEATS THE TRUTH. YOU CAN'T UNDERSTAND, IT'S HAPPENED AGAIN, SLIPPED OUT OF MY HANDS. IT'S MY FAULT. THERE'S NOTHING LEFT TO GIVE YOU HAVE IT ALL. THERE'S NOTHING LEFT TO GIVE, YOU HAVE IT."
0,"PAINT A PICTURE IN MY HEAD - YELLOW, BLACK, AND RED. USE IT AS A DISGUISE. SPRAY IT DOWN TO RESET. CLEAN BODIES AT REST. PULL THE WOOL OVER MY EYES. PUSH ME TIL THE VERY END. THIS LIFE WAS ALL BUT OVER WHEN ALL OF MY FRIENDS FOUND THEIR GRAVES. NOW USE ME TIL THERE'S NOTHING LEFT THEN SHOOT ME WITH YOUR MEDICINE TIL I CAN'T FEEL ANY MORE PAIN. I'M NUMB TO THIS PLACE. PAINTING PICTURES IN MY HEAD, PAINTING PICTURES, I'M PAINTING PICTURES IN MY HEAD. PULL THE SHADES CLOSED. TURN THIS TOWN OFF. YOU SEE RIGHT THROUGH ME. JUST TURN THIS TOWN OFF. SO PUSH ME TIL THE VERY END. THIS LIFE WAS ALL BUT OVER WHEN ALL OF MY FRIENDS FOUND THEIR GRAVES. NOW USE ME TIL THERE'S NOTHING LEFT THEN SHOOT ME WITH YOUR MEDICINE TIL I CAN'T FEEL ANY MORE PAIN. I'M NUMB TO THIS PLACE. PAINTING PICTURES IN MY HEAD, PAINTING PICTURES, I'M PAINTING PICTURES IN MY HEAD."
